Date;Id;Type;Text;Tags
2023-05-25 20:11:55.865597;1661796580213551104;replied_to;@abelamundala @moise_katumbi Mr arrêté avec ton sale intimidation, toi tu connais les nombres des congolais qui meurent du jour au lendemain? Si vous, vous vivez dans sa poche ce ne pas tout le monde. Les soldats qui meurt au front qui porte la responsabilité? Ni kushikiye tena.;
2023-05-25 20:11:57.866230;1661796581706801152;replied_to;@wonsstyles yo:;
2023-05-25 20:11:59.867109;1661796577973862410;retweeted;RT @WillyTolerdoo: Suena a broma. Pero yo contrataría a una empresa extranjera totalmente imparcial, para que revise hasta el último voto p…;
2023-05-25 20:12:01.867544;1661796580549181442;replied_to;@VAlegrame ¿Pasó algo en las elecciones más próximas al 11M? Pues dese por contestado.;
2023-05-25 20:12:03.868824;1661796582478544896;replied_to;@francalvoh Pero una cosa es que ellos se presenten, y otra convertir OT en la preselección, que es un error monumental porque limitas los cantantes posibles a 5, y las canciones que llegan no suelen ser buenas para ellos 😩;
2023-05-25 20:12:05.870107;1661796579055992837;replied_to;@GrueneBundestag @maik_aussendorf .... dann hätte ich das gerne mal rechnerisch dargestellt.;
2023-05-25 20:12:07.870519;1661796581371248641;Empty;Sen niye bu  Twitter  içine ettin Allah için illa mal sizin diye yapıyorsunuz bunu @elonmusk  valla yaa saçma sapan bişeyler oluyor 😂😂;
2023-05-25 20:12:09.871591;1661796579202793494;retweeted;RT @CapitanBitcoin: En las últimas elecciones ya hubo ciudadanos denunciando pucherazo del PSOE. Aquí un ejemplo en Huelva (donde para este…;
2023-05-25 20:12:11.871964;1661796581006344193;retweeted;RT @paporetok: totalmente fora do ritmo, o violão ta desafinado, instrumento mal posicionado, nenhuma noção de acordes... pqp se esforce ma…;
2023-05-25 20:12:13.872841;1661796580893114370;retweeted;RT @RbSotomayor: El día de las elecciones es el único día que tu voto vale lo mismo que el del dueño de tu empresa.

Si trabajas este domin…;
2023-05-25 20:12:15.873518;1661796582847574016;Empty;as pessoas compartilhando fotos de um lanche do Mc que durou 13 anos intacto pra justificar que faz mal

ainda bem que não espero 13 anos pra comer 😘;
2023-05-25 20:12:17.874573;1661796583590203392;retweeted;RT @javinavarrx: menos mal que taylor swift va a sacar otra versión de midnight que incluye it hits different para que así todas mis chicas…;
2023-05-25 20:12:19.875127;1661796581492895744;retweeted;RT @bereaguilarv: Si la estrategia del #PAN para 2024 es perder las elecciones, ¡van muy bien! Dentro y fuera de las filas del panismo se c…;
2023-05-25 20:12:21.875558;1661796583472545793;replied_to;@laesposadeterry t cae mal?;
2023-05-25 20:12:23.876423;1661796583371931651;replied_to;@RicardoBSalinas @MLMSalinas Con muebles de “ Electra””jaja mejor cómprenlos en la “ lagunilla”””;
2023-05-25 20:12:25.876964;1661796586320535552;replied_to;@_Eduardo_2004 @maisesportsbr Sim, mas é sempre bom ter pe no chão;
2023-05-25 20:12:27.877260;1661796585330679809;replied_to;@VirginieRochat 😂😂… ce serait pas mal effectivement 😅… douce soirée Virginie 😘😘💐🌼✨🌼💐;
2023-05-25 20:12:29.877863;1661796583246053376;replied_to;@MM___TV89 Danke dir mal wieder das du dir so viel Zeit genommen hast uns wieder diesen schönen gratis content anzubieten, ich weiß das sehr zu schätzen weil wir ohne dich und die anderen trader verloren wären und ihr das alles in eurer Freizeit macht und nichts daran verdient💜💜💜;
2023-05-25 20:12:31.878228;1661796583959134219;replied_to;@furkancerkes Yarrağımın başı yönetecek amına koduğum yalakası götünüzden uydurun sürekli, mal olduğun gerizekalı olduğun apaçık ortada iki tane fotoğraf koy algı yarat aptal herif;
2023-05-25 20:12:33.878925;1661796583833321473;replied_to;@daimaslaylerim Sedatı azıcık tanıyan bu sebeple tatlı tatlı trip attığını laf soktuğunu anlar sxvbnjg;
2023-05-25 20:12:35.880119;1661796584542343168;replied_to;@lapeorarmi Menos mal q traía los audífonos KKKKKK;
2023-05-25 20:12:37.881058;1661796585473277965;replied_to;@olivergorus Irgendwann musste der Keim allen Übels ja mal spriessen.;
2023-05-25 20:12:39.882066;1661796587117445124;retweeted;RT @anitavmza: @loderaulo Yo con 60 no me puedo jubilar aún con la moratoria, me siguen faltando aportes, estoy sin $1, mi gatito se puso r…;
